"fish.id","sex","stimulus","st.object","order","weight","sl","right","left","LI"
"A1","M","pos","Or",1,1.37,1.185,34,234,-0.7462686567
"A2","M","pos","Or",1,0.86,0.93,63,232,-0.5728813559
"A3","M","pos","Or",1,1.81,1.405,157,58,0.4604651163
"A4","M","pos","Or",1,0.82,0.91,134,162,-0.09459459459
"A5","M","pos","Or",1,1.18,1.09,272,13,0.9087719298
"A6","M","pos","Or",1,1.3,1.15,164,128,0.1232876712
"C1","F","pos","Or",1,3.64,2.32,159,137,0.07432432432
"C2","F","pos","Or",1,2.79,1.895,148,143,0.01718213058
"C3","F","pos","Or",1,1.08,1.04,186,107,0.2696245734
"C4","F","pos","Or",1,1.25,1.125,146,148,-0.006802721088
"C5","F","pos","Or",1,1.3,1.15,114,180,-0.2244897959
"C6","F","pos","Or",1,4.03,2.515,83,213,-0.4391891892
"D1","F","pos","Gr",2,1.15,1.575,296,4,0.9733333333
"D2","F","pos","Gr",2,0.91,1.455,150,142,0.02739726027
"D3","F","pos","Gr",2,2.5,2.25,181,99,0.2928571429
"D4","F","pos","Gr",2,1.18,1.59,172,125,0.1582491582
"D5","F","pos","Gr",2,1.48,1.74,107,180,-0.2543554007
"D6","F","pos","Gr",2,1.37,1.685,131,159,-0.09655172414
"A1","M","neg","Gr",2,1.37,1.685,0,260,-1
"A2","M","neg","Gr",2,0.86,1.43,30,269,-0.7993311037
"A3","M","neg","Gr",2,1.81,1.905,0,300,-1
"A4","M","neg","Gr",2,0.82,1.41,153,139,0.04794520548
"A5","M","neg","Gr",2,1.18,1.59,212,83,0.4372881356
"A6","M","neg","Gr",2,1.3,1.65,199,90,0.3771626298
"C1","F","neg","Gr",2,3.64,2.82,108,191,-0.2775919732
"C2","F","neg","Gr",2,2.79,2.395,0,300,-1
"C3","F","neg","Gr",2,1.08,1.54,157,110,0.1760299625
"C4","F","neg","Gr",2,1.25,1.625,155,137,0.06164383562
"C5","F","neg","Gr",2,1.3,1.65,169,124,0.1535836177
"C6","F","neg","Gr",2,4.03,3.015,67,233,-0.5533333333
"D1","F","neg","Or",1,1.15,1.075,218,73,0.4982817869
"D2","F","neg","Or",1,0.91,0.955,152,138,0.04827586207
"D3","F","neg","Or",1,2.5,1.75,262,35,0.7643097643
"D4","F","neg","Or",1,1.18,1.09,143,154,-0.03703703704
"D5","F","neg","Or",1,1.48,1.24,229,67,0.5472972973
"D6","F","neg","Or",1,1.37,1.185,135,157,-0.07534246575
"Male1.1","M","pos","Or",1,NA,NA,14,159,-0.838150289
"Male2.1","M","pos","Or",1,NA,NA,76,203,-0.4551971326
"Male3.1","M","pos","Or",1,NA,NA,81,193,-0.4087591241
"Male4.1","M","pos","Or",1,NA,NA,0,300,-1
"Male5.1","M","pos","Or",1,NA,NA,61,154,-0.4325581395
"Male6.1","M","pos","Or",1,NA,NA,47,0,1
"Male1.2","M","pos","Gr",2,NA,NA,40,243,-0.7173144876
"Male2.2","M","pos","Gr",2,NA,NA,146,86,0.2586206897
"Male3.2","M","pos","Gr",2,NA,NA,16,240,-0.875
"Male4.2","M","pos","Gr",2,NA,NA,0,300,-1
"Male5.2","M","pos","Gr",2,NA,NA,95,160,-0.2549019608
"Male6.2","M","pos","Gr",2,NA,NA,227,58,0.5929824561
"Female.1.1","F","pos","Or",1,NA,NA,136,146,-0.03546099291
"Female.2.1","F","pos","Or",1,NA,NA,141,146,-0.01742160279
"Female.3.1","F","pos","Or",1,NA,NA,133,157,-0.08275862069
